machine;description;nature;excution;frequency;nextExecution
M07;DISJUNTOR UNIPOLAR C6A ;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;DISJUNTOR UNIPOLAR C6A ;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;DISJUNTOR UNIPOLAR C6A ;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;DISJUNTOR UNIPOLAR 10A;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;IHM - 6AV6-642-0BA01-1AX1;ELÉTRICO;INSPEÇÃO/LIMPEZA;6M;12
M07;DIODO  3RT2916-1EH00;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;DIODO  3RT2916-1EH00;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;PORTA FUSIVEL ;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;FUSIVEL NEOZED 63A - 5SE2-325;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;DIODO  3RT2916-1EH00;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;MOTOR 37 KW 1725 rpm;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;DIODO  3RT2916-1EH00;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;MOTOR 18,5 KW 1725 rpm;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;MOTOR 3KW 1725 rpm;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;CLP PNOZ-MUITI M1P - PILZ;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;SENSOR BNS 33 - 52188/52190;ELÉTRICO;INSPEÇÃO;6M;12
M07;SENSOR BNS 33 - 52188/52190;ELÉTRICO;INSPEÇÃO;6M;12
M07;BOTÃO DE EMERGENCIA;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;BOTÃO DE EMERGENCIA;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;BOTAO DE PULSO COM LED AMARELO;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;BOTAO DE PULSO COM LED VERDE;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;BOTAO DE PULSO COM LED VERDE;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;BOTAO DE PULSO COM LED VERMELHO;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
